Thread #1
1. Point A: -59:76; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 46; Angle B: 176; Angle C: 91; Angle D: 45; Square: 560;
2. Point A: 3:69; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 69; Angle B: 167; Angle C: 91; Angle D: 31; Square: 686;
3. Point A: -26:-54; Point B: 66:44; Point C: 75:44; Point D: 81:-17; Angle A: 27; Angle B: 133; Angle C: 95; Angle D: 103; Square: 5684;
4. Point A: -79:-88; Point B: -72:43; Point C: 24:43; Point D: 81:-17; Angle A: 63; Angle B: 93; Angle C: 133; Angle D: 70; Square: 16768;
5. Point A: -72:43; Point B: 66:44; Point C: 75:44; Point D: 81:-17; Angle A: 21; Angle B: 179; Angle C: 95; Angle D: 62; Square: 81;
6. Point A: -23:-95; Point B: 66:44; Point C: 75:44; Point D: 81:-17; Angle A: 20; Angle B: 122; Angle C: 95; Angle D: 121; Square: 7784;
7. Point A: 66:44; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 167; Angle B: 91; Angle C: 91; Angle D: 9; Square: 702;
8. Point A: 12:-11; Point B: 40:69; Point C: 61:69; Point D: 81:-17; Angle A: 75; Angle B: 109; Angle C: 103; Angle D: 71; Square: 3600;
9. Point A: -97:-91; Point B: -70:32; Point C: 57:32; Point D: 61:-7; Angle A: 49; Angle B: 102; Angle C: 95; Angle D: 112; Square: 17466;
10. Point A: -70:32; Point B: -17:53; Point C: -15:53; Point D: -9:21; Angle A: 31; Angle B: 158; Angle C: 100; Angle D: 69; Square: 651;
11. Point A: -17:53; Point B: 40:69; Point C: 61:69; Point D: 86:-59; Angle A: 63; Angle B: 164; Angle C: 101; Angle D: 31; Square: 992;
12. Point A: -9:21; Point B: 40:69; Point C: 61:69; Point D: 86:-59; Angle A: 84; Angle B: 135; Angle C: 101; Angle D: 38; Square: 2784;
13. Point A: 35:-77; Point B: 40:69; Point C: 61:69; Point D: 86:-59; Angle A: 68; Angle B: 91; Angle C: 101; Angle D: 98; Square: 5256;
14. Point A: -80:-82; Point B: -2:-19; Point C: 92:-19; Point D: 97:-98; Angle A: 44; Angle B: 141; Angle C: 93; Angle D: 81; Square: 8505;
15. Point A: -2:-19; Point B: 40:69; Point C: 61:69; Point D: 86:-59; Angle A: 88; Angle B: 115; Angle C: 101; Angle D: 54; Square: 4752;
16. Point A: -40:-87; Point B: 40:69; Point C: 61:69; Point D: 86:-59; Angle A: 50; Angle B: 117; Angle C: 101; Angle D: 91; Square: 11388;
17. Point A: 40:69; Point B: 67:83; Point C: 83:83; Point D: 86:-59; Angle A: 97; Angle B: 152; Angle C: 91; Angle D: 18; Square: 434;
